;Site;Auteur;dateComm;dateSejour;Localisation;Note;Titre;Avis
1401;Disney Newport Bay Club;Fazerman13;juillet 2018;septembre 2016;Marseille France;3;déçu;tarifs exorbitants  manque dombre ds les filles dattente  aucun personnage accessible sans faire la queue 30min  manque de magie  ce st devenu exclusivement commercial alors qu'au départ c'est pour faire rêver les enfants 
1402;Disney Newport Bay Club;805chantalg;juillet 2018;septembre 2016;;5;excellent hotel;hôtel magnifique, très tranquille. un petit plus pour la piscine. magnifique vue sur le lac. personnels très professionnel. bon petit déjeuner, grand choix. chambre très spacieuse et bien équipés. seulement temps d'attente de la navette trop longue, plus rapide à pied par le lac.  
1403;Disney Newport Bay Club;lmbtcouturier;juillet 2018;septembre 2016;;4;Hôtel  parfait;Hôtels et chambres très bien par contre beaucoup de monde au parc le dernier spectacle Marvel beaucoup d'attente pour pas grand-chose spectacle minable rien à voir avec le spectacle de Mickey le magicien qui lui est dans la vraie tradition des spectacles Disney
1404;Disney Newport Bay Club;pascal h;juillet 2018;septembre 2016;bresles;5;extraordinaire!;aux abords de ce fabuleux parc Disneyland, nous avons séjourné dans cet hôtel de 4 étoiles. Un enchantement qui nous a plongé dans l'univers de Disney, un personnel d'une gentillesse incroyable que se soit du manager à la femme de ménage toujours un sourire, un bonjour, une amabilité.Le cadre est merveilleux ainsi que les prestations. Nous nous avions opté pour le petit déjeuné, c'est simple il est gargantuesque. Nous avons été aussi au bar une atmosphère super sympa dans un cadre feutré. C'est simple nous n'avons qu'une hâte! y retourner....  
1405;Disney Newport Bay Club;Michèle_P;juillet 2018;septembre 2016;Berne Suisse;1;Très bof;"Très mauvais rapport qualité-prix. Hôtel soit disant rénové; juste un coup de rafraîchissement de peinture. Long couleur, labyrinthe avec tapis ultra sale. Pas de btl d eau, pas de mini bar! Et ns sommes dans un 4 étoiles.. ! Pdj, la catastrophe..ultra bruyant..odeur repugnante dans la salle du pdj. Joint des sdb censé être rénové...joints remplis de moisissures. J avais voulu réserver une compasse club.. soit disant pas de place.. j ai demandé à la reservation - pas de place / j ai demandé à notre arrivée- pas de place. Imaginez ma tête quand j entends une famille dans le Lobby qui a été upgradé..malgré leur réservation en chambre standart... pffff fuyez cet endroit ca coûte super cher et vous n en aurez pas pour votre argent !  La piscine vraiment mais vraiment négligée ! …"
1406;Disney Newport Bay Club;BB;juillet 2018;septembre 2016;Lyon France;5;Séjour en famille !!!;Magnifique séjour en famille. La magie de disney fait toujours sont effet sur les enfants et nous parents! Nous nous réjouissons d'y retourner dans cet hôtel  La chambre est grand spacieux,propre et bien isolée pour les bruits !!!
1407;Disney Newport Bay Club;laudamien2018;juillet 2018;septembre 2016;Saint-Denis Ile de La Réunion;4;Super !; Situé à 10-15 minutes à pied des parcs Disney, l'hôtel est typique et offre de bonnes prestations. Nous avions pris une chambre Compass Club, du coup un voiturier pour garer la voiture au pk et la livraison des bagages directement en chambre, ce qui est appréciable quand on peut y accéder seulement à partir de 15h. Accueil VIP et gouter offert à partir de 16H. La chambre est confortable, pour 4 personnes un peu juste niveau espace. 
1408;Disney Newport Bay Club;emelyneheffner;juillet 2018;septembre 2016;Le Locle Suisse;5;Séjour magique!;Magnifique séjour en famille. La magie de disney fait toujours sont effet sur les enfants et nous parents! Nous nous réjouissons d'y retourner une prochaine fois! Le spectacle nocturne nous a coupé le souffle! 
1409;Disney Newport Bay Club;Brice B;juillet 2018;septembre 2016;;5;Super hôtel ;Je tiens à noter le professionnalisme du personnel , souriant , à l’écoute et surtout un 10 sur 10 pour le réceptionniste Reynald qui nous a été d’une aide exceptionnelle , grand merci à lui . Je remercie le service technique pour la rapidité du service à minuit passé. Je reviendrais avec grand plaisir dans votre hôtel . 
1410;Disney Newport Bay Club;Magali P;juillet 2018;septembre 2016;Roanne France;5;Magique!;Idéal pour se couper de la réalité et vivre la magie Disney! La piscine extérieure est très agréable et les deux restaurants à recommander ! Le personnel est souriant, disponible et attentionné. Hôtel paisible à choisir sans hésiter !
1411;Disney Newport Bay Club;Arnaud E;juillet 2018;septembre 2016;Brusvily France;5;c'est parfait;L'accueil est très bien, il y a de la sécurité à l'entrée, bagagerie et navette gratuite pour aller au parc  présente à l'entrée de l'hôtel. L'entrée de l'hôtel est magnifique, propre et c'est spacieux. Il y a une piscine à l'intérieur et plusieurs restaurant. Les chambres sont grandes et propres, la literie est confortable et la salle de bain assez grande. Il n'y a rien à redire.
1412;Disney Newport Bay Club;defi1964;juillet 2018;septembre 2016;;5;Séjour merveilleux et féerique;Tout était parfait sauf qu’au premier jour serviettes pas remplacées et chambre pas aspirée. Sinon le buffet du matin et du soir étaient excellent. Chambre très bien climatisée, et très bonne literie.  Temps d’attente dans les attractions beaucoup trop long même avec le fast pass vaux mieux avoir un VIP pass Merci pour la férie et le bonheur 😄
1413;Disney Newport Bay Club;nicolas13160;juillet 2018;septembre 2016;;5;Excellent;Le seul bémol vient du fait des travaux sur la route entre l'hôtel et le parc, ce qui allongeait les délais de la navette, mais ce n'était évidemment pas du ressort de l'hôtel. Pour les reste les prestations de celui ci sont très bonnes!
1414;Disney Newport Bay Club;louise0204;juillet 2018;septembre 2016;Lomme France;5;Séjour parfait;Super et superbe hôtel! Nous avons été bien accueillis, le personnel a toujours été très sympathique et à l'écoute. Notre chambre était propre et très jolie. Nous avons également testé le bar lounge où la déco est super. 
1415;Disney Newport Bay Club;Jm M;juillet 2018;septembre 2016;La Saline null Réunion;2;Nullisime;Jamais j'y reviendrai, premièrement un contrôle sécurité ridicule, j'aurais pu rentrer avec n'importe quoi, ensuite le Check In à rallonge, pour au finale nous dire que les chambres ne sont pas prête et qu'elles ne seront disponible qu'à partir de 15 heures, étant sur place depuis 10 heures, après ayant récupéré cette fameuse chambre prévue pour quatre on se retrouve avec 3 serviettes et 3 gels douche de 5cl pour deux jours, Et sans bar inadmissible pour un hôtel de ce niveau( Compass Club égale all incluse). Tout est hors de prix À Maurice dans un palace j'ai eu des prestations All Incluse pour 10 fois moins d'investissement, pour ceux veulent s'offrir du rêve à leurs enfants passer votre chemin......
1416;Disney Newport Bay Club;hannahmadeline;juillet 2018;septembre 2016;Savenay France;4;Bon week end en général;Un bon week end passe en général, seul petit hic un manque d information sur le pass magic auquel nous avons adhérer. Nous sommes passer à coter de beaucoup d occasion par manque d information du personnel et ce n est pas faute d en avoir demander!!! 
1417;Disney Newport Bay Club;DavinaLux;juillet 2018;septembre 2016;Luxembourg;5;Excellent!;C’est la 2ème fois que nous séjournons au Newport Bay et encore une fois, nous n’avons pas été déçus!  Check-In rapide + bonne surprise : notre chambre était prête dès notre arrivée (9:30)!  L’hôtel est très beau et bien situé. Il est largement possible d’aller au Parc à pied, même pour les moins sportifs (10 min), sinon les navettes sont très fréquentes.  La chambre (côté lac) était très jolie et très propre, la salle de bain est bien fournie et propre elle aussi.  Le personnel est aux petits soins, toujours souriant et vous met directement dans l’ambiance Disney.  Je recommande donc à 100%!! 
1418;Disney Newport Bay Club;Odyssey710239;juillet 2018;septembre 2016;;3;Rapport qualité/prix moyen;Superbe hotel bien évidemment. Mais je trouve que le prix des chambres est bien trop élevé par rapport à ce que l'on a. C'est exagéré et je trouve ça dommage. À ce prix-là le déjeuner devrait être compris, au minimum. En ce qui concerne la nourriture, le buffet pourrait être un peu plus frais pour certains aliments. Tout est relatif évidemment, nous sommes amateurs de gastronomie. Sinon, pour les personnes moins difficiles ça devrait convenir parfaitement.
1419;Disney Newport Bay Club;Céline R;juillet 2018;septembre 2016;;5;Hôtel magnifique;Une qualite de literie extra prenez le compass lounge vraiment super proche de Disney 10 min à pied des prestations supers. On reprendra cet hôtel sans hésitation. Frigo dans la chambre machine nespresso et bouilloire avec thé peignoir baignoire dans la salle de bain. Vraiment de quoi se poser confortablement.
1420;Disney Newport Bay Club;nadineperron;juillet 2018;septembre 2016;Saint Brice Sous Foret France;4;Séjour Disneyland;Bon séjour dans un lieu idéal pour la famille avec un personnel sympathique. Par contre pour les chambres au niveau de la douche il faudrait faire vérifier le débit de l’eau, difficulté à changer la température. Espérons qu’au prochain séjour il n’y aura pas de problèmes techniques sur les manèges car cela gâche la journée pour les enfants.
1421;Disney Newport Bay Club;Mymoza;juillet 2018;septembre 2016;Boulogne-Billancourt France;2;Poux contractès après la première nuit au Newport bay!!! Aucune indemnisation...déçus;Déçus du manque de professionnalisme de la direction de l’hôtel.  Nos enfants ont contracté des poux après la première nuit de notre séjour.  nous avons découvert ça lorsqu’ils ont commencé à se gratter la tête!!! Nos enfants ne fréquentent ni collectivité locale ni piscine ni d’autres enfants (ils n’on Pas vu leur cousins depuis 1 mois)!  Je ne vois pas d’autre voie de contamination.  Malgré cela, l’hôtel decline complètement sa responsabilitè.  Pas d’indemnisation, rien dutout.  C’est très décevant quand on a perdu toute la journée à peigner les cheveux des enfants et à  leur passer les produits anti poux.  À part ça l’hôtel est sympa, bien situé avec de bonnes presentations.  Donc allez y, pourvu qu’il ne vous arrive pas un bobo, car vous n’aurez que vos yeux pour pleurer.
1422;Disney Newport Bay Club;lilysan75;juillet 2018;septembre 2016;Paris France;4;Sympa;Séjour sympa , dommage que nous ayons dû changer de chambre à 00h00 car le système de climatisation ne fonctionnait pas . La 2ème chambre n’etait pas bien propre . Également la femme de chambre à toqué à notre porte à 10h00 le jour du départ. Sinon personnel sympa , très bon petit-déjeuner, et ma fille était ravie du séjour .
1423;Disney Newport Bay Club;123coco1;juillet 2018;septembre 2016;Marseille France;3;moyen;Nous allons chez mickey environ 2 fois par an, et nous connaissons bien cet hotel, nous attendions la fin de la rénovation pour y retourner. Il est joli, immense.Le personnel est parfait. Nous avons choisi le service compasse- club car il y a le petit déjeuner inclu, boisson sans alcool de 12h a 22h , gouter offert dans le salon dédié a partir de 16h jusqua 17h 45, des chambres dédiées aux 7eme et 8eme étages.Des votre arrivée, vous n’avez pas a faire la queue pendant des heures avec tout le monde, il y a un bureau dédié compass club ,c’est + rapide...  Evidemment ce service est + cher, je ne pourrais pas dire de combien car je possède le pass infinity ,c’est a dire le pass a l’année pour aller a disneyland paris donc j’ai des réductions sur les hôtels.  On a aussi droit a un…
1424;Disney Newport Bay Club;Nono67_9;juillet 2018;septembre 2016;Geudertheim France;5;Qualité excellente;Vraiment un très beau hôtel très situé un service de qualité des employés vraiment serviable et aimable répondent à toute vos questions et prenne le temps de tout vous expliquer Les chambre son agréable  
1425;Disney Newport Bay Club;ariegeoise09120;decembre 2017;septembre 2016;Clermont-Ferrand France;5;Magique;Nous avions réserver une suite Compass Club dans cet hôtel pour les fêtes de noël. Nous avons passé le réveillon de noël la bas et mes filles en garde un souvenir magique. L'accueil est parfait, on vous explique bien tout. Les enfants ont eu le droit à leur arrivée dans la suite une peluche sur leur lit chacune offerte, elles ont eu le droit a un sapin de noël décoré (en supplément 450 euros pour le sapin et des cadeaux sous le sapin le jour de noël). J'ai eu besoin de petits services qu'ils 'mont rendu sans soucis et avec la plus belle des manière. Le sourire la politesse et le respect. L'hôtel est magnifique la piscine géniale avec ce paquebot en décor. Vraiment parfait. La suite était immense... Enfin génial quoi... Je pensais au début que l'univers marin ne plairait pas aux…
1426;Disney Newport Bay Club;bouchatb;juillet 2018;septembre 2016;Six-Fours-les-Plages France;4;newport bay club;les lits sont confortables et la chambre est suffisament grande pour 2 adultes et un enfant voire 2 la salle de bain est petite  il y a toujours des files d'attente pour accéder au diner et au déjeuner, quoique nous y étions un jour de championat du monde football donc cela a encore été acceptable. tout le staff était très agréable sauf celui du bar
1427;Disney Newport Bay Club;ASGGBASK;juillet 2018;septembre 2016;Chessy France;4;Séance rattrapage ;Nuitée offerte suite séjour Août 20017 ou chambre non faite à 21h et manager très limite. Bref. Surclassement avec Check In Compass club de bon augure ! Bon je logerai toutefois au 4ème donc pas une chambre Compass mais pas grave. Chambre propre vue sur le lac. La literie est toutefois toujours aussi déplorable pour un 4*. Très mal au dos on sent les lattes du sommier. Côté piscine celle extérieure ouvre de 12h à 20h. Si vous souhaitez plusieurs transat un conseil venez suffisamment tôt. Il manque un nombre considérable de transat autour de la piscine. Très honnêtement on pourrait en mettre 40 de plus facilement. Uniquement 7 parasols il en manque également. Pour venir souvent cette piscine les maîtres nageurs ne sont (pas tous)très sympas ni souriants. Pour se marrer dans les…
1428;Disney Newport Bay Club;magalivanmigom;juillet 2018;septembre 2016;Sète France;3;SERVICE MOYEN;Au vue du prix de la Suite- Compas-club que j'ai payé, les services offerts sont très très moyens (pas de cadeaux de bienvenue, il faut les réclamer) nous avons signalé que dans la Suite la pression de l'eau était médiocre (très peu de débit et eau froide rapidement) aucune solution n'a été trouvée, le canapé-lit a été préparé dans la suite que vers minuit le premier soir à notre insistance !!!! et autour de la piscine manque de transat évident pour le nombre de chambres qu'il y a dans l'hôtel.
1429;Disney Newport Bay Club;S_Pireaux;juin 2018;septembre 2016;liège;4;Inacceptable / Unacceptable.;English version below. Outre des problèmes à la réservation, rapidement réglé par Guillaume à l'accueil du Compass Club (merci à lui, d'ailleurs), l'hôtel a été bien rafraîchi et nous a laissé un meilleur souvenir que lors de notre dernier passage. MAIS il est inacceptable que le personnel VOLE DE L'ARGENT dans les chambres et que la direction contactée au moment du constat nous dise qu'aucune enquête ne sera ouverte si nous ne déposons pas plainte à la police (il est alors minuit...)... un comble. j'ose à peine imaginer le nombre de larcins commis dans l'hôtel au sujet desquels la direction ferme les yeux. On nous a malgré tout remercié d'avoir fait remonter l'information et nous avons reçu une compensation pour l'argent volé (20€ en monnaie, ça ne nous a pas tué, mais c'était…
1430;Disney Newport Bay Club;Aline Rauhl;novembre 2017;septembre 2016;Strasbourg France;5;Mon hôtel préféré!!;"Nous avions choisi une chambre Compass Club, et tout a été encore mieux que ce à quoi nous nous attendions :  Accueil personnalisé et service impeccable (nos bagages ont été montés directement en chambre); grande chambre bien agencée avec vue sur le lac; décors sublimes dans l'ensemble de l'établissement; 10mn de marche seulement jusqu'à l'entrée principale (autour du lac en plus, le top!)piscine très agréable après une longue journée dans le parc; petit-déjeuner buffet avec toçut ce qu'on pourrait rêver de manger au petit-déjeuner.  Le maxi plus : le gift shop au rez-de-chaussée. On ne peut pas s'empêcher d'y faire un tour.  Le seul point négatif serait l'attente interminable pour déposer ou récupérer ses bagages en bagagerie, mais j'ai beau y réfléchir, je ne sais pas comment…"
1431;Disney Newport Bay Club;Stephane P;juin 2018;septembre 2016;;5;Au top;Franchement au top en compass club , un accueil royal, un service impeccable, une chambre parfaite, le petit dejeuner excellent au compass club, Seul bémol le repas au buffet à volonté vraiment trop bruyant et beaucoup d'attente , mais bon repas varié. La conciergerie etait geniale, 'une grande gentillesse et plein de bonnes attentions,
1432;Disney Newport Bay Club;patagora;juillet 2018;septembre 2016;Roquebrune-sur-Argens France;4;Belle soirée dans un lieu magique;Le restaurant cap cod club dans l'hotel newport bay club nous a charmé et emmené sur une autre planète. Dépaysement, buffet très varié, table extérieure donnant sur le lac principal, en face la montgolfière, les touristes de tout horizon, les étoiles, tout était féerique. De plus nous avons pu aller assister au feu d'artifice. A refaire pour oublier un peu le quotidien
1433;Disney Newport Bay Club;Christine R;juillet 2018;septembre 2016;;4;Magique;Nous avons passé un excellent moment à disneyland. Concernant l'hôtel : les chambres très bien, propres rien à dire. Le restaurant inadmissible nous avions réservé à 22 h puisque l'hôtel propose cet horaire là, presque plus rien à manger et lorsque ma fille à voulu une barbe à papa, plus rien, le chef cuisinier avait donné l'ordre de ranger. ce n'est pas la peine de proposer cet horaire là, si nous avons presque plus rien à manger au prix ou c'est!!!!quand à la piscine nous avons voulu prendre un moment de détente en famille le soir vers 19h30. On nous a carrément refusé l'accès à la piscine extérieure!!!c'était trop tard !!!idem pas la peine de proposer la piscine si c'est pour profiter que de la piscine extérieure!!!! Oh prix ou l'on paye je pense qu'ils pourraient faire des…
1434;Disney Newport Bay Club;Ply;juillet 2018;septembre 2016;Saint-Michel France;3;Déçus: clients des hôtels et non d’un hôtel! ;Personnel symptomatique mais aucun attention envers les guets. À reservation de mon séjour, j’ai précisé qu’il s’agissait d’un anniversaire pour une union et que nous sommes des habitués « en moyenne 7 séjours » en hôtels Disney par an, aucun petites attentions dans la chambre. En gros on consomme, on paye et bye bye à la prochaine. D’autres hôtels du parc sont plus chers mais au final, le service est plus attentionné et meilleur! 
1435;Disney Newport Bay Club;Henri et Marie-... B;juin 2018;septembre 2016;Bruxelles;5;Jours de MAGIE !;"Nous étions là pour deux nuits avec notre petite-fille de 7 ans .  Bon accueil, belle chambre, très propre !  Pour nous seul problème lit de deux personnes de 1.40 m... nous avons souvent cela en France ... un peu juste somme habitués à un lit plus grand !  Très agréable salle de bain avec wc et le coin évier et placard à part. Coffre fort.  Le personnel SUPER très à l'écoute; de la réception aux restos !"
1436;Disney Newport Bay Club;on4fab;juillet 2018;septembre 2016;;4;3 jours chez Mickey;très bien en général , à part que les couloirs pour arriver aux chambres sont très sale (les gens sont des porcs ) personel super , dommage , le petit déjeuner n'est plus compris et le prix est execif (25€). ar contre fort déçu du parc en lui même , beaucoup d'attractions fermées en même temps . Problème technique sur le nouveau spectacle des avengers , attendu 1 h30 pour ne voir que le début et même pas une compenssation :-( 
1437;Disney Newport Bay Club;LAUER J;juin 2018;septembre 2016;;3;Bel endroit mais mal entretenu;Nous avions réservé 3 chambres. Dans la première chambre la douche ne fonctionnait pas. Incapable de la réparer l'hôtelier a proposé un changement de chambre. Dans la nouvelle chambre aucune prise de courant ne fonctionnait. Le lit bébé réservé dès le départ n'était pas en place, il a fallu réclamer les draps et une couverture. Il fallait forcer les portes des chambre et des balcons pour les ouvrir et les fermer. Le personnel en contact avec les clients est très aimable. Dommage que les dirigeants ne prennent pas plus soin pour entretenir de ce bel établissement.
1438;Disney Newport Bay Club;Louis F;juin 2018;septembre 2016;Amboise France;3;4 ÉTOILES ?;Hôtel bien situé près de l’entree du parc, chambres correctes mais bien moins luxueuses et spacieuses que dans bien d’hôtes 4* en Europe. Literie confortable. Par contre pas de mini bar, et surtout 1 seule prise de courant vers l’entree 😳 en cherchant bien il y en avait une sous le lavabo dans le meuble, je trouve un peu mesquin et pas digne d’un 4* (conseil amener une multiprise) Le personnel d’ accueil et au bar très sympathiqe L’entree de ll’ hôtel plutôt froide et ressemble à un grand hall de gare, mais il est vrai que vu le nombre de chambres ils ont dû faire au mieux, il faut éviter d’arriver aux heures d’affluence  Rapport qualité / prix vraiment pas terrible
1439;Disney Newport Bay Club;Galy27;novembre 2017;septembre 2016;;5;Juste waouhhhhh !!!;Ce n’était pas la première fois que nous séjournions au Newport mais depuis la rénovation de celui ci si. Que dire de ce merveilleux hôtel, tout est magnifique aussi bien l’accueil que la restauration.Petit déjeuner excellent !!!
1440;Disney Newport Bay Club;aline B;juin 2018;septembre 2016;;4;excellent;Super hôtel, tout est fait pour que vous puissiez profiter au maximum du parc. A l'arrivée et au départ tout est mis à disposition pour vous faciliter la vie !!!  Les chambres sont propres et joliment décorées. 
1441;Disney Newport Bay Club;pecheur83;juillet 2018;septembre 2016;Rayol-Canadel-sur-Mer France;5;Super;Excellent séjour. Hôtel reposant à proximité de l'enfer de Disneyland. Personnel charmant et efficace (notre serveur Ben Youssef notamment, très aimable et professionnel) Buffet de qualité.  À refaire.
1442;Disney Newport Bay Club;Caroline D;juin 2018;septembre 2016;;5;Séjour magique en suite;Cet la première fois que nous on logions en suite et ce fut magique !!! Le personnel était aux petits soins pour nous et tout c’est très bien passé ... Les enfants ont adoré la petite attention de l’hôtel. À refaire absolument ! A dans 2 ans ... 
1443;Disney Newport Bay Club;dvhaaleennetine;juin 2018;septembre 2016;Charleroi Belgique;4;Agréable;Personnel accueillant, magnifique chambre très propre avec une jolie vue, beaucoup de gens à l'arrivée mais service rapide, endroit très calme cependant le prix du déjeuner est un peu élevé pour les enfants, 
1444;Disney Newport Bay Club;Nikky73;juin 2018;septembre 2016;Savoie France;3;Peut faire mieux! Pour un 4 etoiles!!!!!;Tres joli, belle deco, personnel agreable, restaurant le «  Yacht Club » tres bien..... mais niveau chambre ne meritant pas 4 etoiles!!! A l’arrivée, l’aspirateur pas passé et pendant 3 jours, absence totale!2 gobelets plastic a la salle de bains, pas pour les 2 enfants, produits d’accueil pour 2 et pas 4, meme pas un simple support pour la savonnette...trouvé une brosse a cheveux tres sale.... pas de mini bar mais 1 plateau et un seau a glace! Etc etc.... mediocre pour un 4 etoiles. Je retournerai au Disneyland!
1445;Disney Newport Bay Club;VirSaJu;juin 2018;septembre 2016;Toulouse;1;Minable !;Pour notre 8ème séjour à Disney et parcequ'on nous a chanté que cet hôtel avait été entièrement rénové, nous avons testé le newport bay club ! Une honte, minable et extrêmement sale... Pour faire bref nous avons dû changer 3 fois de chambres car la 1ere sanitaire et télphone en panne située au bout d'un couloir nterminable proche piscine, la deuxième pas nettoyée, lits défaits et poils dans la baignoire... tout cela à 23h00 passé, juste pitoyable au vu du prix du séjour.  ce fut donc la 1ere et surotut la denrière fois que nous séjournerons dans cet hotel qui ne vaut à peine un 2étoiles et encore....
1446;Disney Newport Bay Club;Tassa;juin 2018;septembre 2016;;5;Séjour du 23 au 25 juin en compass club. 5 personnes. 1er séjour dans un hôtel disney.;L'hôtel a été à la hauteur de nos attentes. Séjour en compass club. La réception du compas club au top ! La personne que nous avons eu a revu notre séjour point par point et nous a tout expliqué dans le détail. Pendant ce temps et sans que l'on s'en aperçoive nos bagages on été pris en charge par le bagagiste (nous les avons retrouvé dans notre chambre dans l'après midi ) nous avions 2 chambres l'une à côté de l'autre avec une porte communiquante à l'intérieur des chambres très pratique avec des enfants. Les chambres étaient belles, propres, magnifique vue sur le lac avec un balcon, 2 peignoirs  et chaussons dans chaque chambre, le soir lit ouvert, rideaux fermés, pièces en chocolat sur chaque lit. vraiment parfait . Nous avions pris la pension complète Premium et avions réservé…
1447;Disney Newport Bay Club;ProduGOUT;juin 2018;septembre 2016;Mettray France;4;Un dîner à réserver...;S’il faut persévérer pour atteindre la centrale de réservation du restaurant... le reste de la soirée entre amis est des plus sympathique. La présentation des buffets, renouvelés continuellement, est agréable tant au goût qu’à l’esthétique. Un agréable moment avant une balade autour du lac.
1448;Disney Newport Bay Club;fabrizio11;juin 2018;septembre 2016;Martin-Eglise France;5;tres bon sejour;l’hotel est immense et c’est un 4 clés si on veut que les bagages soient montés dans la chambre c’est sur demande mais possible. les lits sont tres confortables apres une journée dans le parc c’est top. un message sur la tele diffise en boucle avec notre nom de reservation et un message avec notre nom de famille nous attend egalement. notre chambre etait tres propre avec tout le confort, il n’y avait pas de peignoirs par contre mais assez de serviettes. la piscine est top et assez grande pour en profiter largement, une tres grande experience. nous n’avons pas pris de repas. j’ai préféré cet hotel au disneyland hotel pourtant 5 clés.
1449;Disney Newport Bay Club;Gregory;juin 2018;septembre 2016;Liège Belgique;5;Magnifique à tous les égards;Notre dernier séjour à l'hôtel Newport Bay Club remontait à presque 10 ans. Nous y avons séjourné 3 nuits récemment pour le redécouvrir depuis sa récente et profonde rénovation. L'hôtel est magnifique. Enorme, mais magnifique. Le check-in se fait rapidement. Notre fils a eu la chance de recevoir de petites attentions pour son anniversaire, dont un badge. Nouveauté récente, tous les documents sont maintenant rassemblés sur une carte, qui contient tout et sert à tout: clé de chambre, entrées aux parcs, coupons repas et petit-déjeuner, elle peut également faire office de carte de paiement si on y lie sa carte bancaire. Nous avons trouvé cela hyper pratique. La carte donne également droit à 4 boissons chaudes par jour gratuites aux machines présentes à tous les étages. Dans le lobby…
1450;Disney Newport Bay Club;ldaeleman;juin 2018;septembre 2016;Rixensart Belgique;2;ça ne vaut pas/plus ses 4 étoiles!;HOTEL: Très cher payé pour des prestations médiocres... Accueil antipathique, désorganisation complète pour le check-in (le hall de l’hôtel ressemblait à un hall de gare un jour de grève...). La chambre était peu confortable et présentait des signes de vétusté (papier peint décollé, boiseries abîmées,...). La salle de bain n'était pas propre (poils et cheveux dans les recoins...). PARCS: Plusieurs attractions majeures étaient fermées pour rénovation ( sauf erreur de ma part, aucune information ne nous a été communiquée à ce sujet lors de la réservation). D'autres attractions majeures ponctuellement en panne au cours du séjour. Des files interminables même pour prendre les FAST PASS ou pour se restaurer. Bref, cela ne valait clairement pas ce que nous avons payé.
1451;Disney Newport Bay Club;fannyvirlogeux;juin 2018;septembre 2016;Pierrefeu-du-Var France;4;très bien;L'hotel est très bien, la décoration, les chambres tout est parfait ! La situation proche des parcs.  Petit bémol la taille gigantesque de l'hotel + de 7000 chambre Beaucoup trop grand  Couloir interminable avec les enfants
1452;Disney Newport Bay Club;monicabrzywcz;juin 2018;septembre 2016;Bruxelles Belgique;4;Bien;Nous revenons de notre weekend épuisant du Disneyland Paris. Oui, épuisant car les distances l'attente et avec les enfants il faut être armé de patience. Mais que dire la Magie du Disney efface tout, il suffit d'une rencontre avec un personnage et on oublie tout. Mais revenons à l'hotel Newport Bay Club: bien mais c'est gigantesque, notre chambre était dans l'aile est et très très très loin donc si on a oublié quelque chose il fallait faire un footing de 800m jusqu'à la chambre. La propreté de la chambre - la salle de bain laisse à désirer. La réception très efficace. Le restaurant Cape Cod buffet très bon avec beaucoup de choix. Personnellement si j'ai l'occasion et des moyens (:-) ) de revenir je choisirai l'hotel Disneyland situé directement au Parc, l'histoire d'économiser…
1453;Disney Newport Bay Club;Sevtom;juin 2018;septembre 2016;Forest Belgique;5;Bel hôtel proche du parc;C’était notre deuxième séjour au NBC mais cette fois ci nous étions en Compass Club avec vue sur le lac, magique! Très bel hôtel, le personnel est charmant. Buffet petit-déjeuner déjeuner au top et le restaurant Cape Cod est notre préféré. Proche de Disney Village. Thème marin qui nous met directement dans l’ambiance disney. On adore !
1454;Disney Newport Bay Club;787elisabeth;juin 2018;septembre 2016;Châteaurenard France;5;Séjour marvel;Excellent moment! Hôtel très agréable. Literie au top. Sanitaire et chambre très propre. Je recommande fortement. Proche des parcs. Ballade au bord du lac très agréable et reposant. Nous n'avons malheureusement pas pu profitez du spa et de la piscine par manque de temps. Dommage!
1455;Disney Newport Bay Club;Lau0982;juin 2018;septembre 2016;Zaventem;5;Très chouette expérience;Jusqu'ici, jamais déçue d'un séjour à Disneyland. Nous sommes venus pour la première fois dans cet hôtel. Rien à redire sur la qualité de l'accueil, des services ou des équipements. On sent / on sait que tout est fait pour votre bonheur. Néanmoins, à titre tout à fait personnel, je préfère l'ambiance plus 
1456;Disney Newport Bay Club;sabineauchanvoyages;juin 2018;septembre 2016;;4;Très bien;La chambre était au bout de l'hôtel et donnait l’impression d'avoir été préparée à la va vite.Mais à part cela tout était bien. C'est toujours un plaisir de revenir. L'hôtel est magnifique de l'intérieur et de l'extérieur. 
1457;Disney Newport Bay Club;geraldinedine;juin 2018;septembre 2016;Limoges France;4;Sympa ;Séjour en compas club très sympa, des l'accueil on nous met à l'aise, si il y a de l'attente on nous fais attendre dans un lounge privé, avec boisson à volonté. Les chambres n'ont rien de plus, un peu déçu nous pensions avoir une petite attention en chambre, un petit mot par exemple...  le goûter gratuit dans l'hôtel est sympa mais pour ma part trop de chose salé à base de poisson!  Le petit déjeuner dans la salle à part est agréable car il n'y a pas trop de bruits, contrairement au salle de petit déjeuner des hôtels disney!  Par contre la vue de la chambre est bien plus jolie qu'à l'hôtel disney ou nous avons séjourné plusieurs fois, de notre chambre nous avons pu apprécier le dream! 
1458;Disney Newport Bay Club;paulineb1525;juin 2018;septembre 2016;;5;séjour disney;Bon accueil Personnel attentif, attentionné, à l'écoute, souriant. Chambre propre, literie confortable, tout le nécessaire est présent dans la chambre. Buffet petit déjeuné varié et convient à tout le monde.
1459;Disney Newport Bay Club;Steff R;juin 2018;septembre 2016;Gap France;4;Superbe;Magnifique hôtel proche du parc avec ou sans navette, très propre. Par contre nous étions 4 adultes dans une suite et il y avait seulement 2 peignoir 2 chaussons etc....  Le petit déjeuner est exceptionnel je pense qu'il ne manque de rien.  
