pays,titre,note,commentaire,dateSejour,situation,dateCommentaire,photo
,Weekend Disney,3,Très très bel hôtel pour les fans de Marvel. Chambre luxueuse très propre personnel très agréable. Malheureusement les restaurants proposés dans l'hôtel ne sont pas dignes de luxe de cet hôtel. Très dommageable qu'il n'y ait pas assez de spécialité américaine style gros hamburger. Le restaurant downtown s apparante plus à un fast-food buffet et n'est pas à la hauteur du tarif payé malgré un accueil chaleureux et un personnel très agréable. Nous avions l'impression d'être au buffet goûter du Disney Newport bay club. Par contre le bar skyline est magnifique. Je ne pense pas retourner au restaurant de l'hôtel mais à l'hôtel lui-même oui. Quel dommage qu'il n'y ait pas un restaurant semi-gastronomique à la hauteur de cet hôtel.,janvier 2022,,Joleloup a écrit un avis (janv. 2022),False
,bon hôtel,5,très très bien chambre avec  super deco propre et confortable bonne literie  il y à tous ceux qu il faut bon accueil  super petit déjeuner  vous trouverez un bar avec de très bon cocktails  très bonne adresse,janvier 2022,,JEAN MARC G a écrit un avis (janv. 2022),False
Lyon France,Une véritable équipe de Super-héros,5,L’expérience client est juste incroyable. Nous sommes tous masqués mais les sourires transparaissent dans le regard de toutes et tous! DES ETOILES DANS LES YEUX!!!! Il y a toujours une personne qui s’enquiert de votre confort. La gentillesse semble être la première verrue requise pour intégrer cette adresse magique !,janvier 2022,,saladelyonnaise a écrit un avis (janv. 2022),False
,SAV,3,Bonjour  Nous avons une réservation prévue en mars et souhaiterions y apporter une modification.. Malheureusement il est juste IMPOSSIBLE  d atteindre quelqu'un que ce soit par téléphone ou par e-mail...,janvier 2022,,Caroline G a écrit un avis (janv. 2022),False
Hermance Suisse,Une équipe de Super-héros,5,L’expérience Disney /Marvel ? Elle ne résume pas à la qualité de la literie de la gastronomie des cocktails ou encore des décors . Cette expérience se résume aux sourires et attentions de: Jessy Roméo Cédric Angelo Joua… et l’ensemble des équipes ! Bravo vous êtes tous des Super-héros !!!!!,janvier 2022,,G R a écrit un avis (janv. 2022),True
Gleizé France,Superbe!,5,Superbe rénovation pour cet hôtel Disney!  L'hôtel est très classe bien thématisé tout est bien pensé élégant plein de petits détails appréciables on s'y sent bien et le parfum d'ambiance est divin.  La literie est très confortable les chambres sont bien équipées (machine à café bouilloire mini frigo) et très propres.  A tout cela on ajoute la proximité des parcs du Disney Village et l'amabilité du personnel que demander de plus?  C'était parfait on reviendra sans hésiter!!!,janvier 2022,,stepht318 a écrit un avis (janv. 2022),False
Marly-le-Roi France,Top pour une nuit ou deux,5,Super hôtel déco très cool chambres spacieuses et toilettes du lobby nickel. Le service est parfait. En allant tôt au petit déjeuner vous aurez un service impeccable le buffet est bon. Il y a du choix. Boutique assez sympa avec des produits marvel. Pas eu le temps d’essayer la piscine mais à faire la prochaine fois.,janvier 2022,,Paulpell75 a écrit un avis (janv. 2022),True
Bayonne France,Excellent hôtel Disney !,5,L hôtel Marvel Art of New York est incontestablement un très bel hôtel Disney. C est un véritable 4 étoiles l accueil est excellent et tout est fait pour que votre séjour soit parfait. Les chambres sont spacieuses et très propres. Notre vue était magique. La literie est confortable  la salle de bains incroyable. Il est vrai que le petit déjeuner est cher mais le service est très agréable et il y a du choix . Le personnel est très sympathique  bref je recommande vivement cet hôtel qui est très près du parc.,janvier 2022,,Agnes C a écrit un avis (janv. 2022),True
Lille France,Enchanté,5,La force de cet hôtel est l’emplacement pré du parc Disney. Les œuvres d’art Marvel sont incroyables. Après une journée au parc nous avons diné au restaurant Manhattan.  Le restaurant et l’équipe très serviable ont été un point fort et une belle découverte. Professionnels et disponibles ils ont été tout aussi enchanteurs que l’endroit. Nous avons souhaité essayer d’autres restaurants du soir et sommes finalement revenus y diner pour notre dernier soir. Merci à toute l’équipe. Un hôtel propre et bien tenu hautement recommandable. ,janvier 2022,,myriamdbe a écrit un avis (janv. 2022),False
Namur Belgique,Du Tape a l’œil!!!,2,Grosse grosse déception!!! Nous avons réservé une chambre familiale pour 4 en demi-pension pendant 4j/3n vous imaginez le budget …  1 point négatif: on nous enregistre le premier jour on nous met un beau bracelet de couleur sans nous préciser de quoi il s’agit  et on ne nous préviens pas que tous les jours il faut changer ce fameux bracelet qui est en fait le Pass sanitaire … résultat nous nous faisons refouler a 8h20 du matin le lendemain au point contrôle comme des mal propres … ça commence bien!!!   2 point négatif: nous effectuons un changement d’heure pour le repas du soir … histoire de voir la parade nous nous présentons donc à 19h45 au resto et là pas de réservation 😳 finalement on nous trouve une table pour 21h super les deux enfants 6 et 10 ans qui meurent de faim!!!…,janvier 2022,,lure2510 a écrit un avis (janv. 2022),False
Offranville France,Excellent séjour ambiance magnifique !,4,Nuit du 21 au 22 décembre 2021. Cadre splendide chambre très bien. Là dessus franchement rien à dire. Un regret sur le petit déjeuner pour le prix il devrait être compris ça me semble une évidence. Sinon j'aurai trouvé ça sympa pour les enfants qu'un personnage (spiderman ironman thor etc...) passe pendant les repas que ce soit petit déjeuner ou diner au Manhattan ou Downtown.,décembre 2021,,ben0itm83 a écrit un avis (janv. 2022),False
Fecamp France,Noel en famille,5,Super hôtel l acceuil parfait les chambres terribles le personnel super gentil toujours prêt à vous aider que dire de plus je recommande fortement merci à toute l équipe qui nous a reçu petit conseil ne prenez pas le forfait pension complète impossible de réservé les restaurants,décembre 2021,,Dom F a écrit un avis (janv. 2022),True
Paris France,Très bon séjour plongé dans l’univers Marvel,4,Hôtel très bien rénové avec pour thème l’univers Marvel que l’on retrouve dans les espaces communs et les chambres. Ces dernières sont bien équipées avec baignoire lit confortable et suffisamment d’espace. Le petit déjeuner est servi sous forme de buffet; bon choix de mets sucrés et salés avec une qualité correcte. Le personnel est très efficace et souriant. Un seul bémol les couloirs ne sont pas bien nettoyés dans les étages ce qui dénote dans ce genre d’établissement. Néanmoins un très bon choix pour séjourner en famille à Disneyland Paris.,janvier 2022,,Bpm73 a écrit un avis (janv. 2022),False
Metz France,"Emplacement et service impeccable Qualité de la nourriture … à revoir !",3,Nous aimons séjourner chez Disney avec nos enfants et nous reviendrons Le personnel est absolument charmant et aux petits soins (merci Karim au restaurant Manhattan le premier soir!!) Mais la qualité de la nourriture (et là je parlerai plus particulièrement du petit déjeuner … et de ce qui est servi au bar…) vraiment de qualité médiocre. Servez moins de choix et privilégiez la qualité ! Il y aura beaucoup moins de gâchis. La déco était à la hauteur rien à dire sur la propreté de notre chambre non plus ! Les lits doubles étaient cela dit trop petits à notre goût. Les enfants sont rentrés heureux ! Cela n’a pas de prix (ou presque….),décembre 2021,,joanneandco57 a écrit un avis (déc. 2021),False
Genève Suisse,Belle ambiance ... mais le Covid gâche tout,4,L hôtel New York Marvel est vraiment top bien décoré ambiance sympa  belles chambres. Le resto Manhattan est bon et c est rare chez Disney le bar n est as fantastique comme Cela peut être vendu parfois mais il est agréable avec de bons cocktails.  Les points négatifs sont surtout liés au Covid tous les matins on doit sortir de l hôtel pour aller chercher un bracelet validant le pas vaccinal. Jacuzzi de la piscine interdit salle avec super héros « trop réglementée » une photo avec un masque alors que l on est seul dans une pièce de 100 m2 c est ridicule. Le personnel est vraiment trop stricte sur les masques les mains à force on a l impression qu ils sont payés à engueuler les clients mais quand on Demande un autre service la personne ... Dernière chose interdit de…,décembre 2021,,moooonriver a écrit un avis (déc. 2021),False
,Un très bon séjour,4,L’Hôtel est très confortable. La décoration conçue exclusivement pour l’hôtel est magnifique. Elle comblera tous les fans de Marvel !  Le personnel est dans l’ensemble très sympathique et à l’écoute.  Un merci tout spécial à Nair qui nous a très bien accueilli et qui a su nous faire oublier le retard de la chambre à l’arrivée…Elle nous a également fait une visite de l’hôtel et de ses  œuvres d’art  que nous avons beaucoup apprécié.  La suite Spider-Man était top spacieuse confortable avec une vue magnifique.  Nous avons également tout particulièrement apprécié les petits goûters l’après midi !  Notre petit regret ne pas avoir eu le temps de profiter de la piscine ! Mais nous n’avons pas dit notre dernier mot !,décembre 2021,,Emmanuelle M a écrit un avis (déc. 2021),False
Clermont-Ferrand France,Parfait,5,Très bon accueil; l’hotel est bien thématisé pour les fans de Marvel … et de New York. Suites spacieuses  bien agencées et confortables. La piscine est agréable les restaurants très bons et pas trop bruyants. Parfait pour nous.,décembre 2021,,oscar162 a écrit un avis (déc. 2021),False
France,HELP !,2,Hôtel correct avec des chambres a peu près propres … nous avons eu beaucoup de poils et cheveux dans la baignoire.  Par contre parlons un peu du prix du room service et de la qualité de ce qui est servi … 50€ pour une assiette de poisson (trop cuit) et le pompom: 40€ pour une assiette de pâtes à la sauce tomate ! Immangeable car ultra compact   Ça s’appelle du vol !  Le petit dej est de la même qualité pour 80€ pour 3 personnes .  Mais HELP c’est quoi cette arnaque.  Encore une fois sous prétexte que ça s’appelle hôtel Marvel  on se permet de servir des produits réchauffés et de mauvaise qualité pour des prix plus qu’exorbitants,décembre 2021,,Helloyou a écrit un avis (déc. 2021),True
Antibes France,Très bon séjour,5,Bien accueilli dès notre arrivée  service de bagagerie . Chambre propre avec café et thé à disposition . Grande piscine dommage jacuzzi ferme  terrain multisport super pour les fin de journée avec les ados .  Concierge qui nous a trouvé un restaurant pour dîner à la dernière minute .   Nous recommandons .  Seul bémol les travaux on du être fini à la hâte et quelque détail sont à revoir en chambre comme les lames de sol qui sont décalées par rapport au tapis .,décembre 2021,,lylybernard a écrit un avis (déc. 2021),False
Marseille France,Rien à dire ! PARFAIT,5,L’accueil est chaleureux  Le service conciergerie et bagagerie est au top Les restaurants sont propres et respectent les protocoles sanitaires Covid (contrairement au restaurant du Disney village) La chambre était propre Le petit déjeuner était un buffet copieux tout était délicieux On reviendra tout était parfait rien ne nous a déçu,décembre 2021,,lananassv a écrit un avis (déc. 2021),True
,Mes 40 ans gâchés!,2,Habitués aux hôtel Disney c'est la première fois que l'on ressent un tel mépris à notre égard. Nous rentrons d'un séjour de 3 jours 2 nuits en chambre sup avec terrasse en famille (enfant de 3 ans et de 7 ans) au Marvel pour des anniversaires et en replacement d'un voyage de noce au Disney Hôtel prévu en mars 2021donc annulé pour fermeture. Attendre un SMS qui n'arrive jamais lorsque la chambre est prêt chambre sans aucune petite attention pour les anniversaires (à chaque fois au Séquoia au moins une carte et des pièces en chocolat et 2 fois des peluches) retourner à la réception à 19h et faire encore 15 min d'attente car il n'y a pas les tickets du petit-déjeuner (heureusement que nous connaissions ce système de ticket sinon nous aurions été mal le lendemain en allant…,décembre 2021,,Claire L a écrit un avis (déc. 2021),False
La Frette sur Seine France,Très bel hôtel très bien rénové,5,Magnifique hôtel sur le thème Marvel décoration soignée du hall jusque dans les chambres personnel très accueillant comme toujours dans les hôtels disney les chambres sont magnifiques  petit déjeuner très varié servi sous forme de buffet une belle réussite cette rénovation,octobre 2021,,aririr95 a écrit un avis (déc. 2021),False
Lausanne Suisse,Magnifique,5,Hôtel splendide personnel très agréable et souriant / vérifie le pass sanitaire chaque jour 👍🏼 / buffet excellent y’en a pour tous les goûts / chambre très agréable et spacieuse / literie confortable / très bien situé par rapport à Disneyland on peut s’y rendre à pied en quelques minutes 😉,novembre 2021,,klarisa a écrit un avis (nov. 2021),False
Mareuil-lès-Meaux France,Un hôtel incroyable,5,Un très bel hôtel qui nous plonge dans l’univers des Marvel. La décoration est sublime avec de très belles œuvres sur les univers Marvel. Les chambres sont spacieuses  confortables et très propres. En ce qui concerne les activités un large choix pour les petits et les plus grands.  Pour la restauration la nourriture est très bonne  le buffet à table permet de goûter à différentes choses tout en évitant le gaspillage.  Pour finir  le personnel est au petit soin  c’est vraiment un plaisir de séjourner dans cet hôtel . Au plaisir de revenir !,juin 2021,,Océane T a écrit un avis (nov. 2021),True
,Une nuit en Empire State Club,5,Ravie d'avoir opté pour cette gamme de chambre.  Nous avions déjà logé au Séquoia  au Newport et au Disneyland Hotel mais en chambre classique. Dès l'arrivée nous avons été accompagnés dans un salon d'accueil réservé  au calme. Notre chambre était située au 8e étage  avec une vue forcément dégagée. Spacieuse  fonctionnelle  joliment décorée et petits cadeaux.  Petit déjeuner amélioré soft drinks à volonté et goûter dans un salon dédié ont été très appréciés!  Est ce l'effet post-confinement la rénovation récente de l'hôtel ou la catégorie Empire State? Toujours est-il que l'accueil de l'ensemble du personnel a été remarquable de dévouement  de sincère amabilité et de sourire  alors que nous avions gardé un souvenir un peu blasé de l'accueil lors de nos précédents…,novembre 2021,,jc892017 a écrit un avis (nov. 2021),True
,Et même cet avis va être traité à la chaine avec comme réponse un copié-collé :p,2,Séjour de 3 nuits à l'hôtel MARVEL. La décoration est belle le personnel sympathique Cependant les chambres vu les prix laissent à désirer. Lits petits en taille pour des hôtels de ce prix ménage pas au top toilettes dans la salle de bain. Gobelets en carton une savonnette pour toute la chambre etc. On a commandé un repas en chambre le premier soir : à éviter... Les pâtes immangeables un baguel qui fait mal au ventre... Queue et attente en perspective. Sinon la déco est sympa bien qu'un peu rectiligne (shinning like). A si hors de prix bien entendu.,novembre 2021,,Josh H a écrit un avis (nov. 2021),False
,Anniversaire réussi ! 👍,5,Une soirée inoubliable passée au downtown restaurant notamment grâce à la prestation du personnel présent sur place(Aurelie Amandine Praja Valérie et un autre garçon dont j'ai malheureusement oublié le nom) sans qui la soirée n'aurait pas été aussi magique et qui ce sont eux même occupés d'apporter le cadeau à mon père 😀.  Le séjour aurait pû être parfait si l'espace spa de la piscine était ouvert au public mais ce n'est malheureusement pas de leurs fautes...  Je recommande définitivement cette hôtel ✅,novembre 2021,,Theo a écrit un avis (nov. 2021),True
Valence France,Séjour agréable,5,Un bel hôtel un check in rapide et accueillant des petits déjeuners copieux un chambre très confortable et très bien insonorisée.  La piscine de l'hôtel est très sympa (et il y avait très peu de monde...) Le petit plus : pouvoir prendre RV avec Spiderman pour des photos dans des décors inspirés des films Marvel et les objets exposés dans le lobby et les couloirs,octobre 2021,,Ma F a écrit un avis (nov. 2021),False
Aix-en-Provence France,Bel hôtel pour les fans marvel,4,Hotel New York réhabilite.  Chambres confortables.  Check in et out rapides et efficaces. Petit-déjeuner très très cher pour ce qu il propose : 28 euros par personne Très pratique pour aller au parc Disney : 5 à 10 mn à pied  Parking compris dans le prix de l hotel.,novembre 2021,,karga a écrit un avis (nov. 2021),False
,Hôtel New York - the art of marvel,5,Un hôtel époustouflant. Une chambre très agréable une literie d'enfer... Nous sommes arrivés en famille avec 2 enfants: chambre 2 lits double rez de jardin... Machine à café lavazza avec capsules gratuites pour dégustation  Tv incrustée dans le miroir avec mon nom sur la page d'accueil ... Piscine superbe bar restaurant ... Je recommande. Je suis venue à 2 reprises à l'hôtel New York avant sa rénovation. L'hôtel était déjà très agréable mais à ce stade les 4 étoiles le valent bien!,novembre 2021,,Anne-claire L a écrit un avis (nov. 2021),True
Talence France,Dommage !!!!,3,L’hôtel est magique superbe décoration propreté irréprochable mais ça s’arrête là.!!!  Chambre double 2 lits  quelle déception 1 lit + 1 canapé lit… obligé de faire une réclamation (donc attente) pour un changement de chambre t’inquiète je s’occupe de monter les bagages et d’attendre comme un c… devant l’ascenseur.  Le Covid à bon dos attendez-vous à … attendre!!! Attendre devant l’ascenseur attendre devant la réception attendre devant les restaurants… Les restaurants… plus aucune réservation 1 mois et demie avant notre arrivée et même les cast members malgré leur bonne humeur légendaire ne peuvent que constater le malaise allant parfois jusqu’à nous proposer des déjeuners vers 16h30  (et les dîners vers 2h00 du mat’ ??!). Le parc quand à lui ÉTAIT féerique on verra…,novembre 2021,,benjamin G a écrit un avis (nov. 2021),True
,C’est pas mal mais …,3,Les moins: quand t’es en Empire State club que tu viens pour ton anniversaire que les cast members le savent que que tu n’as même pas une surprise 😑 Genre un ballon dans ta chambre avec : bon anniversaire 😑 Quand c’est un jour surchargé et que tu récupères ta chambre à 16h  Gros moins de Disney : fini les fast  par contre quand tu prends le Empire State Club et que tu n’as aucun plus… tu galère dans la queue pour entrer au parc et tu n’as même pas un coupé file par jour. Avec en moyen 15€ par pers et par attraction c’est du foutage de gueule.  Les plus: des cast members de l’hôtel sont très gentils. Pas évident quand il y a autant de monde. L’hôtel est blindé.  Le miroir TV: ça déchire  Le lounge 😁 pour les gourmands 🤤   Le Castel club de l’hôtel Disney était plus sympa.…,novembre 2021,,Cleo A a écrit un avis (nov. 2021),True
Lyon France,Super Hôtel Marvel !,5,Nous avons séjourné à l’hôtel Marvel 2 jours et une nuit. Tout était très bien. De notre arrivée l’accueil la dépose des bagages la remise des pass. La chambre est classique fonctionnelle agréable calme propre. Concernant les repas le petit déjeuner est un buffet sucré et salé boissons chaudes servit à table et jus de fruits.  Nous avons dîner au Downtown sous forme de buffet. Vraiment top. Le buffet se décline sous 3 thèmes: américain italien et asiatique. Vous trouverez pour chaque thème des entrées plats et desserts. Très copieux! La réservation est obligatoire. Nous avons passé un très bon moment dans cet hôtel notre fils a adoré les décors posters tableaux Marvel géants….je vous le recommande. De plus c’est tout bête mais ça sent super bon dans l’hôtel!,octobre 2021,,Laetitia a écrit un avis (oct. 2021),True
,Un moment magique,5,Hotel parfait sur tout les points.. Magnifique chambre spacieuse propre et très belle.  Personnel tellement gentil et accueillant.. Mention plus pour le studio marvel ou tout les cast member sont au petit soin.   Petit déjeuner au dessus des autres hotel disney avec un plus :le jus d'orange pressé. Les details qui font la différence.. On reviendra c'est sur....,octobre 2021,,pauline0726 a écrit un avis (oct. 2021),False
,Néanmoins nous recommandons cet hôtel pour la décoration et les chambres.,4,Nous avons passé 1 séjour de 3 nuits et 4 jours dans cet hôtel. Sans compter le disneyland hôtel il bien situé (10 min à pied du parc) ce qui est plutôt appréciable après 1 journée à marcher. La décoration et la thématisassions nous a beaucoup plu que ce soit dans le hall d’entrée les restaurants les salons et les chambres(nous ne sommes pas allé à la piscine).L’accueil est professionnel et chaleureux de manière général il  n’y a rien à dire sur les cast-members. Les chambres classiques (or Empire state club) sont grandes et confortables mais léger problème d’insonorisation si vous êtes trop haut dans les étages car avec le vent il y a un léger bruit ( un peu dommage vue le prix demandé).La super héros station est sympa et amusante. Nous remercions d’ailleurs les cast…,septembre 2021,,Nini13170 a écrit un avis (oct. 2021),False
Brignoud France,Une spidernuit,5,J adore l hôtel. Tout a été fait avec goût et raffinement . La chambre est superbe. Le lit excellent ainsi que les équipements. Le restaurant Manhattan est superbe aussi et la nourriture bonne ce qui est rare à Disney. Bref très bonne surprise,octobre 2021,,mariofcb a écrit un avis (oct. 2021),True
,Superbe Hôtel,5,Magnifique hôtel épuré aux lignes modernes. Les œuvres exposées sont magnifiques. Le parfum est enivrant. La station photo avec la rencontre de spiderman est un plus qui rend cet hôtel à part. Le personnel est d'une bienveillance professionnelle unique. L'empire state club chouchoute à la perfection ses clients. Nous avons passé un merveilleux séjour.,octobre 2021,,Stl. a écrit un avis (oct. 2021),False
Saint-Jean-d'Angély France,EXCEPTIONNEL ! Un veritable reve !!!,5,Nous avons passé 3 jours parfaits a l empire state club au 7eme etage. Le personnel a toujours ete tres attentif aux petits soins. Nous n oublierons pas non plus les moments passes au restaurant manhattan ou au bar skyline. La boutique Marvel est au top ! Que dire de l hotel dont la deco est somptueuse. Le rendez vous photo avec spiderman comblera les enfants. Bref c est un vrai reve qui se realise ! Un merci special a Ange a la reception de l empira state club a Debora et Niccolo au Manhattan. Tous les 3 ont rendu notre sejour encore plus inoubliable ! ,octobre 2021,,David Geneau a écrit un avis (oct. 2021),True
Lyon France,Très beau mais quelques détails à revoir,3,L'hôtel est très beau c'est clair la déco les luminaires sont vraiment bien pensés. Les chambres sont très belles aussi bien équipées. Petit bémol qui a son importance pas de balayette dabs les toilettes. Sans raison particulière nos toilettes se sont bouchées une fois lors de notre séjour de 3 nuits.  Notre lavabo faisait aussi quelques caprices pour se vider. Un problème de réglage de bonde que l'on ne doit normalement pas rencontrer dans un hôtel revendiquant ce standing. Les bars sont très beaux eux aussi mais pour le tarif demandé on ne s'attend pas à boire une pina colada indigne d'un barman et une bière pression servie à peine fraîche. Dernier détail : pendant deux nuits nous avions des voisins au dessus de notre chambre avec un enfant qui faisait des allers retours…,août 2021,,richard_brunie a écrit un avis (oct. 2021),False
Saujon France,Un Musée ouvert des Marvel,4,Bon accueil des personnels adorables notamment aux restaurants !!! Les évidences de réservations pour manger ne sont pas si évidentes que cela .... bref  Nourriture de qualité au Manhattan. Du gigantisme un peu partout avec un accès au parc idéal ... A conseiller,octobre 2021,,joechris17 a écrit un avis (oct. 2021),False
Etampes France,Whaou,4,Super bon accueil que ça soit à l entrée a la réception Pendant les activités de l hôtel (piscine dessin rencontre avec spider man) Très belle chambre on s y attendais pas C est très chouette d être à côté du parc à pied quel plaisir. Literie plutôt pas mal ainsi que les oreillers Deux  belles salle de bains Deux beaux ecrant TV mais un que nous avons eu du mal à faire fonctionner( je pense à cause des piles de la télécommande) Pas mal de prise Éclairage pratique Par contre si les gens ne sont pas discret on les entend. Pisine sympa Activé pour apprendre à dessiner super chouette nous y avons passé un très bon moment avec le cast members Sascha. Spider man et hyper cool notre fils a passé un super moment il avait les étoiles dans les yeux. Très bon Acceuil au bar également.…,octobre 2021,,samantha a écrit un avis (oct. 2021),True
Bécon-Les-Granits France,Superbe et dépaysant,5,Superbe hôtel cadre et chambres magnifiques l'ambiance New York est là même en regardant par la fenêtre restaurant Manhattan au top . Personnel au top le seul bémol est qu'à notre arrivée c'est la sécurité ( normal) que nous voyons en premier et contrairement au personnel de l'hôtel qui est charmant un accueil glacial sans bonjour et pas très aimable dommage car ce sont là est premières personnes que l'on voit . Sinon pour le reste c'est un sans faute car même en arrivant tôt il y a du monde pour nous accueillir avec le sourire. On reviendra avec plaisir,octobre 2021,,Alyan a écrit un avis (oct. 2021),False
Caen France,Empire State Club le top !,4,Hôtel New-York rénové et modernisé une vraie belle ambiance et un emplacement de choix près des parcs Disneyland et Disney Studio. Le bouquet de services des chambres « Empire State Club » permet de profiter d’une expérience « all inclusive » avec une conciergerie personnalisée des chambres plus confortables et mieux équipées le tpzti déjeuner et le goûter compris. Il est possible d’utiliser la bagagerie de l’hôtel pour la tranquillité d’un séjour où tout est pris en charge pour vous.  Malheureusement tout ceci a un prix que beaucoup jugeront rédhibitoire.  Le personnel de l’hôtel est charmant dans l’esprit des cast-members des belles années Disney (ce qui est moins vrai dans les parcs).,octobre 2021,,magmahurlant a écrit un avis (oct. 2021),True
Cogolin France,2 nuits magiques,5,Wahouuu!!! Quel hôtel ! Il est vraiment très beau ! Les enfants étaient ravis et nous aussi les marvels sont partout un vrai plaisir pour les yeux !  Les chambres sont vraiment superbes les lits très agréables pour une bonne nuit 🌙  Les services sont top : les enfants on pu prendre des photos avec Spiderman et dans les différentes scènes et aller également au Kids club pour récupérer leur livre dessins Marvel réservé au client de l hôtel uniquement donc accessible 👍 Le restaurant pour le petit déjeuné et dîner très bien le service est agréable et rapide pas de soucis. La nourriture est correct ! Encore bravo pour cet hôtel il est réussi et à eu beaucoup de succès auprès des nouvelles enfants et des parents. Nous y reviendrons avec grand plaisir ! Nos deux nuits étaient…,octobre 2021,,LaetitiaDim a écrit un avis (oct. 2021),True
Mondeville France,Parfait...,5,Cet hôtel est ce que j'attendais d'un tel établissement. Pour un week-end en famille j'avais choisi les chambres Empire State côté lac.  Grâce à cette formule la conciergerie s'occupe de vous et s'occupe de tout.  Pour la première fois je n'ai absolument rien eu à dire de négatif sur la chambre.  C'était parfait. Le plateau de courtoisie est le bienvenu.  Le coin lounge est très pratique.  Tout le personnel est aux petits soins.  J'ai adoré mon séjour dans cet hôtel.  Je conseille aussi le Downtown Restaurant  avec sa formule à volonté.  Et pour finir la piscine est l'endroit idéal pour se détendre  après une journée dans le parc. Cela fait un bien fou.  ,octobre 2021,,vincent014 a écrit un avis (oct. 2021),True
Montpellier,Le Top 👍,5,Le TOP tout simplement 👌👍 hôtel neuf chambre spacieuse super décor. Le restaurant est agréable. Les repas petit déjeuner et dîner sont parfait. Il faut penser à réserver avant le séjour . Le personnel est serviable et souriant. Vous pouvez y aller sans hésitation.,octobre 2021,,beatrice c a écrit un avis (oct. 2021),False
,Magnifique rénovation,5,Je ne suis pas fan de l'univers marvel mais nous avons choisi cet hôtel pour mon fils qui évidemment adore les super héros.  Je ne regrette pas du tout mon choix.  Dès notre arrivée nous avons été charmé par la déco et par les cm qui y travaillent.  Que ce soit au check in restaurants et au bar.  Notre chambre était magnifique et qu'est ce que nous avons bien dormi ! Super choix au dowtown le soir et au petit déjeuner.  Mon seul regret c'est de ne pas avoir pu prendre mon petit déjeuner au manhattan...,septembre 2021,,arwen2407 a écrit un avis (oct. 2021),True
Normandie France,Splendide !,5,Magnifique hôtel accueil grandiose chambres spacieuses propres et surtout fort bien insonorisées ! La télévision est tout simplement incroyable. Personnel à la hauteur de la magie du lieu beaucoup de professionnalisme et d’attention à l’égard des clients c’est vraiment très agréable. Petit souci technique dans la salle de bain à 21h30 appel à la réception 5 minutes après un charmant monsieur arrive et résout notre problème avec le sourire. Magical place ! Merci à tous pour cet engagement dans un lieu unique au monde...pour le moment !,septembre 2021,,Mary a écrit un avis (oct. 2021),False
,Séjour merveilleux,5,Alors par ou commencer nous venons de rentrer de notre petit long week-end à l’hôtel New York qui est tout simplement sublime. La décoration les œuvres marvel que ça soit dans le hall les étages et les chambres sont tout simplement merveilleuses on a qu’une seule envie les décrocher et rentrer avec :D. Nous avons eu affaire à la réception Empire et je tiens vraiment mais vraiment à remercier tout le personnel et toute l’équipe pour leurs disponibilités leurs sérieux tout le monde était au petit soin avec nous. Nous avons fêté l’anniversaire de notre petite fille et c’était un souvenir inoubliable pour elle et pour nous. Nous tenon à remercier Nair de la réception Empire pour son accueil sa gentillesse ses petites attentions pour notre fille elle était vraiment au top et tous…,septembre 2021,,yannis n a écrit un avis (oct. 2021),True
Toulouse France,Très bel hôtel mais très mauvaise insonorisation,4,+ : très bel hôtel extrêmement bien situé proximité immédiate du Disney Village et des parcs  Personnel accueillant dans l'ensemble  Jolies chambres literie confortable télé personnalisée hôtel très propre   Parking surveillé 24/24h et facile d'accès   Équipements de l'hôtel : piscine salle de sport héro station...  Bagagerie très pratique et bien organisée  - : la dame qui gérait le Skyline le 02/10 midi très désagréable nous forçant à tout prix à télécharger la carte du bar (et refusant de nous laisser entrer tant que ce n'était pas fait) sur nos téléphone alors que nous lui indiquions ne vouloir qu'un coca. Il faudrait qu'elle revoit sa manière d'aborder les clients.  Dommage car les autres personnes étaient gentilles et attentionnés.   Mauvaise insonorisation…,octobre 2021,,mtvx a écrit un avis (oct. 2021),False
,Séjour de Rêve à l'hotel New York,5,Nous rentrons tout juste d'un séjour de 3 nuits à Disneyland Paris et nous avons eu la chance de découvrir ce petit bijou. L'hôtel est juste incroyable magnifique !!! Les chambres sont très confortables ...on a dormi comme des bébés. la TV miroir incroyable... Les oeuvres Marvel et la déco sont géniales. Nous avons trouvé l'idée de la Super Hero Station innovante et unique. Le restaurant Manhattan a une bonne carte nous nous sommes régalés. Nous l'avons préféré au Downtown plus bruyant et moins chaleureux.  Point d'honneur au Bar Skyline et au service du personnel. Nous sommes rentrés du parc un soir en fin de journée puis nous avons décidé de prendre un cocktail. Ma fille a perdue une peluche au Disney Village sur le chemin du retour elle pleurait en arrivant au bar. Le…,septembre 2021,,elena p a écrit un avis (sept. 2021),False
Nantes France,Excellent accueil personnel attentionné literie très confortable,5,Séjour de 3 jours et 2 nuits. prise en charge par le service Disney express afin de gagner un temps fou en sortant du TGV. Excellent accueil en réception empire lounge un grand merci à Alizée pour sa bonne humeur et ses attentions. très bonne literie dans une chambre calme et très très propre. Merci au personnel des petits déjeuners et gouters. ,septembre 2021,,BEAUCY_72 a écrit un avis (sept. 2021),False
